"actividades legislativas","Actividades primarias","Comercio al por mayor","construcción","Corporativos","Enegía ","Industria manufactureras","Información en medios masivos","Minería ","Servicios de apoyo ","Servicios de esparcimiento","Salud","Servicios educativos","Servicios financieros y seguros","Servicios inmobiliarios ","Servicios profesionales y técnicos ","Transporte","Comercio al pormenor","Servicios no gubernamentales","Servicios de alojamiento y alimentación"
44,0,46,15,0,3,197,11,0,13,13,83,45,18,9,33,10,1136,258,222
5,0,5,0,0,1,45,2,0,1,1,6,7,3,0,1,1,249,33,55
15,0,23,0,0,3,722,0,0,7,9,10,20,7,7,1,2,587,102,61
10,0,7,0,0,2,31,7,0,4,7,11,10,4,2,0,2,287,71,25
8,0,0,0,0,1,20,0,0,3,0,2,7,0,0,0,0,53,11,2
19,1,25,1,0,3,85,4,0,1,6,17,15,4,2,5,4,448,137,103
8,0,6,0,0,1,25,2,0,2,1,6,5,0,0,2,1,144,49,35
7,0,8,0,0,1,28,3,0,1,1,5,4,2,0,0,2,135,39,29
3,0,3,1,0,1,29,1,0,8,2,4,5,1,1,0,0,143,34,36
4,0,1,0,0,1,36,0,0,3,2,1,4,0,0,0,0,171,9,3
2,0,2,0,0,1,2,0,0,0,0,1,4,0,0,0,0,0,7,2
3,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,28,5,6
3,0,6,0,0,2,12,0,0,1,0,1,18,1,0,0,0,155,20,2
19,2,16,0,0,2,154,5,0,6,16,22,17,4,9,8,5,646,138,182
11,0,6,0,0,1,54,6,0,3,5,11,10,1,9,3,5,262,70,67
16,6,23,0,0,6,40,4,0,6,4,20,27,8,3,8,12,388,109,112
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,3,18,1,0,4,43,4,0,4,7,18,18,13,7,4,10,238,107,87
27,6,19,6,0,3,80,3,5,4,13,33,31,15,10,11,4,405,188,119
22,0,6,2,0,4,34,1,2,2,12,10,9,1,7,2,2,132,56,47
26,0,3,0,0,2,25,1,1,1,7,24,21,4,1,0,3,163,64,61
37,2,20,1,0,6,83,8,3,2,11,52,29,17,13,13,18,488,238,149
16,1,4,0,0,1,13,1,0,0,2,7,6,1,0,1,5,60,39,7
12,0,2,0,0,5,20,1,0,2,5,9,8,0,0,1,2,85,38,43
3,0,0,0,0,1,4,1,0,0,0,2,5,0,0,0,0,0,5,18
65,0,13,0,0,6,93,9,0,3,14,34,55,7,13,5,17,481,177,154
33,2,28,2,0,7,61,9,1,1,14,39,36,13,20,15,12,503,233,130
49,0,73,8,0,6,157,11,3,16,33,92,55,54,57,50,22,1057,430,338
19,0,0,0,0,1,7,1,0,0,3,5,8,1,1,0,1,52,15,5
25,0,10,0,0,2,64,2,0,1,10,4,12,2,12,1,0,140,82,36
20,0,1,0,0,1,4,1,1,0,2,2,4,0,0,0,0,23,8,3
5,0,1,0,0,0,5,1,1,0,1,2,4,2,0,0,0,18,4,4
17,0,1,0,0,1,4,1,0,0,1,3,5,0,1,0,0,32,14,11
147,15,551,90,0,12,711,25,1,70,110,502,270,214,144,244,126,3896,1949,834
6,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,4,0,2,1
430,4,1591,496,13,45,3084,128,36,477,498,2719,1217,1198,747,1118,452,12820,7464,4626
23,0,2,0,0,1,4,2,1,0,1,7,9,3,1,1,2,52,14,14
113,6,296,48,1,15,625,31,2,80,106,384,211,188,143,167,62,2898,1403,693
20,0,0,0,0,1,3,1,0,0,2,1,4,1,0,0,0,16,10,6
9,1,1,0,0,1,3,1,0,0,1,1,4,2,0,0,0,21,6,2
16,0,4,1,0,3,16,1,0,0,7,11,7,4,4,5,1,83,31,37
21,0,9,0,0,3,24,3,0,4,3,16,10,7,2,3,2,139,68,26
16,0,0,0,0,2,2,1,0,0,4,4,4,1,0,0,0,0,9,3
49,2,26,4,0,3,104,5,0,8,18,52,51,9,9,14,14,572,218,136
7,0,2,0,0,2,13,2,1,0,4,9,9,2,2,3,3,49,38,18
57,0,7,0,0,2,47,4,1,3,6,28,35,5,1,3,5,369,97,73
21,0,2,0,0,1,13,4,1,0,2,10,8,1,1,1,2,80,27,21
65,4,33,2,0,8,94,12,0,6,23,47,40,17,17,28,10,557,236,120
144,0,178,27,0,9,585,25,21,49,99,325,196,122,97,198,71,2653,1388,845
6,0,0,0,0,1,2,0,0,0,0,2,4,1,0,0,0,7,4,0
9,0,1,0,0,2,10,2,0,0,1,7,8,2,0,3,2,103,38,11
24,2,5,0,0,1,6,2,0,1,8,9,10,2,4,1,5,114,49,56
48,0,66,9,0,4,143,13,3,11,31,71,66,26,29,33,17,794,353,255
322,5,1204,260,3,47,2814,157,9,448,716,2685,1287,1655,694,825,596,18081,9445,6420
18,1,2,0,0,1,5,1,0,1,6,6,5,2,0,1,0,54,23,12
15,1,3,0,0,2,17,1,0,0,2,6,6,0,3,2,2,48,16,16
53,5,21,1,0,3,83,9,1,3,13,38,56,14,14,13,5,513,230,107
17,0,0,0,0,1,0,1,1,0,2,8,4,2,0,0,0,11,1,3
5,0,0,0,0,1,4,1,0,0,1,2,4,2,1,0,0,21,12,6
19,0,3,0,0,1,10,2,0,1,1,5,5,2,2,1,0,54,16,8
20,0,3,1,0,1,13,1,4,1,4,6,7,0,2,0,0,61,33,16
27,0,58,5,0,3,148,4,0,9,22,72,55,30,25,24,16,735,382,179
12,0,0,0,0,1,1,2,0,0,0,3,6,0,1,0,0,27,7,7
19,0,2,0,0,1,6,0,14,1,1,3,6,2,0,0,1,53,17,11
48,4,29,3,0,4,112,7,0,5,27,43,27,8,25,14,11,408,238,121
21,0,0,0,0,1,6,2,0,1,3,8,8,1,0,0,1,40,20,14
72,3,107,28,1,8,226,15,1,18,50,216,95,71,55,118,40,1435,726,343
34,0,5,0,0,2,17,3,6,2,2,5,12,4,3,1,0,125,37,46
34,3,25,5,0,3,92,8,0,6,16,76,42,23,20,22,20,478,346,192
14,0,5,0,0,3,16,2,0,1,1,9,11,1,2,4,1,95,80,47
18,0,9,0,0,2,6,1,0,0,4,4,5,3,0,0,1,0,10,5
22,1,5,1,0,3,35,5,0,4,8,12,16,5,11,0,3,142,69,40
